Date,Open,High,Low,Close,Volume,Adjusted Close
2013-10-09,79.01,79.01,79.0,79.0,300.0,72.99
2013-10-08,78.88,78.88,78.88,78.88,500.0,72.88
2013-10-07,78.51,78.51,78.51,78.51,0.0,72.54
2013-10-04,78.01,78.51,78.01,78.51,500.0,72.54
2013-10-03,78.5,78.5,78.5,78.5,0.0,72.53
2013-10-02,78.5,78.5,78.5,78.5,200.0,72.53
2013-10-01,78.45,78.5,78.13,78.13,2100.0,72.19
2013-09-30,78.45,78.45,78.45,78.45,0.0,72.48
2013-09-27,78.45,78.45,78.45,78.45,0.0,72.48
2013-09-26,78.44,78.45,78.44,78.45,500.0,72.48
2013-09-25,78.07,78.07,78.07,78.07,0.0,72.13
2013-09-24,78.12,78.25,78.07,78.07,1200.0,72.13
2013-09-23,78.01,78.01,78.01,78.01,100.0,72.07
2013-09-20,77.88,77.96,77.88,77.96,1000.0,72.03
2013-09-19,78.0,78.0,78.0,78.0,200.0,72.07
2013-09-18,78.24,78.25,78.24,78.25,2100.0,72.3
2013-09-17,78.21,78.21,78.21,78.21,0.0,72.26
2013-09-16,78.21,78.21,78.21,78.21,0.0,72.26
2013-09-13,78.21,78.21,78.21,78.21,200.0,72.26
2013-09-12,77.9,77.9,77.9,77.9,200.0,71.97
2013-09-11,77.99,77.99,77.99,77.99,0.0,72.06
2013-09-10,77.99,77.99,77.99,77.99,0.0,71.92
2013-09-09,77.99,77.99,77.99,77.99,0.0,71.92
2013-09-06,77.99,77.99,77.99,77.99,0.0,71.92
2013-09-05,78.0,78.0,77.99,77.99,400.0,71.92
2013-09-04,78.5,78.5,78.25,78.25,1200.0,72.16
2013-09-03,78.75,78.75,78.75,78.75,100.0,72.62
2013-08-30,79.1,79.1,79.1,79.1,0.0,72.94
2013-08-29,79.1,79.1,79.1,79.1,0.0,72.94
2013-08-28,79.1,79.1,79.1,79.1,0.0,72.94
2013-08-27,79.1,79.1,79.1,79.1,0.0,72.94
2013-08-26,79.1,79.1,79.1,79.1,0.0,72.94
2013-08-23,79.48,79.48,79.1,79.1,300.0,72.94
2013-08-22,79.45,79.49,79.45,79.49,1600.0,73.3
2013-08-21,79.29,79.49,79.29,79.49,1300.0,73.3
2013-08-20,79.3,79.3,79.3,79.3,0.0,73.13
2013-08-19,79.0,79.3,79.0,79.3,800.0,73.13
2013-08-16,79.28,79.3,79.28,79.3,2200.0,73.13
2013-08-15,78.81,78.81,78.81,78.81,100.0,72.67
2013-08-14,79.08,79.2,79.05,79.05,2400.0,72.89
2013-08-13,79.31,79.32,79.0,79.0,700.0,72.85
2013-08-12,79.49,79.5,79.49,79.5,5100.0,73.31
2013-08-09,79.5,79.5,79.5,79.5,0.0,73.31
2013-08-08,79.51,79.51,79.5,79.5,500.0,73.31
2013-08-07,80.0,80.01,80.0,80.0,500.0,73.77
2013-08-06,80.84,80.9,80.0,80.0,1700.0,73.77
2013-08-02,80.5,80.5,80.5,80.5,0.0,74.23
2013-08-01,80.5,80.5,80.5,80.5,0.0,74.23
2013-07-31,80.23,80.5,80.21,80.5,600.0,74.23
2013-07-30,79.8,80.99,79.8,80.99,2300.0,74.68
2013-07-29,79.2,79.2,79.2,79.2,0.0,73.03
2013-07-26,79.25,79.25,79.2,79.2,800.0,73.03
2013-07-25,79.25,79.25,79.25,79.25,200.0,73.08
2013-07-24,77.86,79.0,77.86,79.0,2400.0,72.85
2013-07-23,78.5,78.5,78.5,78.5,1000.0,72.39
2013-07-22,78.0,78.0,78.0,78.0,2600.0,71.93
2013-07-19,77.8,78.0,77.8,78.0,1000.0,71.93
2013-07-18,77.71,78.0,77.7,78.0,1200.0,71.93
2013-07-17,77.45,77.5,77.45,77.5,2400.0,71.47
2013-07-16,77.45,77.45,77.45,77.45,300.0,71.42
2013-07-15,77.0,77.0,77.0,77.0,1300.0,71.0
2013-07-12,77.0,77.0,76.51,76.51,4500.0,70.55
2013-07-11,77.0,77.0,77.0,77.0,1000.0,71.0
2013-07-10,76.51,76.51,76.51,76.51,0.0,70.55
2013-07-09,76.51,76.51,76.51,76.51,900.0,70.55
